% Model:              Sample_ExBprobe_.mph
% Version:            COMSOL 6.3.0.290
% Date:               Mar 17 2026, 17:05
% Dimension:          3
% Nodes:              24321
% Expressions:        6
% Description:        x-coordinate, y-coordinate, z-coordinate, Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component
% Length unit:        m
% x (m),y (m),z (m),mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T)
-0.0050000,-0.0050000,-0.10000,-0.0045370,2.8963E-4,-4.0804E-5
-0.0040000,-0.0050000,-0.10000,-0.0046541,2.9179E-4,-4.2929E-5
-0.0030000,-0.0050000,-0.10000,-0.0047613,3.0732E-4,-3.4010E-5
-0.0020000,-0.0050000,-0.10000,-0.0049027,2.6958E-4,-2.5382E-5
-0.0010000,-0.0050000,-0.10000,-0.0050261,1.6696E-4,-1.7302E-5
-4.7434E-20,-0.0050000,-0.10000,-0.0050945,-1.2462E-5,9.3595E-6
0.0010000,-0.0050000,-0.10000,-0.0050238,-1.6738E-4,9.7671E-6
0.0020000,-0.0050000,-0.10000,-0.0049042,-2.5964E-4,4.5190E-5
0.0030000,-0.0050000,-0.10000,-0.0047588,-3.1019E-4,3.4409E-5
0.0040000,-0.0050000,-0.10000,-0.0046554,-2.9206E-4,4.3136E-5
0.0050000,-0.0050000,-0.10000,-0.0045362,-2.8865E-4,5.1068E-5
-0.0050000,-0.0040000,-0.10000,-0.0045049,3.0591E-4,-5.1471E-5
-0.0040000,-0.0040000,-0.10000,-0.0046089,3.6177E-4,-5.7507E-5
-0.0030000,-0.0040000,-0.10000,-0.0047607,4.1486E-4,-3.5268E-5
-0.0020000,-0.0040000,-0.10000,-0.0049676,4.2145E-4,-2.0453E-5
-0.0010000,-0.0040000,-0.10000,-0.0052051,2.8640E-4,-1.1631E-5
1.8974E-19,-0.0040000,-0.10000,-0.0053359,4.2196E-6,-4.5759E-7
0.0010000,-0.0040000,-0.10000,-0.0052070,-2.7128E-4,-1.3831E-5
0.0020000,-0.0040000,-0.10000,-0.0049711,-4.0529E-4,7.4225E-6
0.0030000,-0.0040000,-0.10000,-0.0047560,-4.1557E-4,3.7854E-5
0.0040000,-0.0040000,-0.10000,-0.0046067,-3.6171E-4,3.7918E-5
0.0050000,-0.0040000,-0.10000,-0.0045119,-2.9833E-4,6.5774E-5
-0.0050000,-0.0030000,-0.10000,-0.0044057,3.0094E-4,-7.1056E-5
-0.0040000,-0.0030000,-0.10000,-0.0045283,4.0182E-4,-4.5567E-5
-0.0030000,-0.0030000,-0.10000,-0.0046701,6.1519E-4,-7.9923E-5
-0.0020000,-0.0030000,-0.10000,-0.0049591,7.6225E-4,-1.4848E-5
-0.0010000,-0.0030000,-0.10000,-0.0054748,6.4208E-4,5.5492E-6
-1.5378E-20,-0.0030000,-0.10000,-0.0058445,-8.3522E-6,2.7575E-5
0.0010000,-0.0030000,-0.10000,-0.0054778,-5.9759E-4,8.0597E-7
0.0020000,-0.0030000,-0.10000,-0.0049713,-7.7388E-4,2.6151E-5
0.0030000,-0.0030000,-0.10000,-0.0046856,-6.2884E-4,5.0557E-5
0.0040000,-0.0030000,-0.10000,-0.0045207,-4.1385E-4,5.5900E-5
0.0050000,-0.0030000,-0.10000,-0.0044106,-3.0128E-4,6.4709E-5
-0.0050000,-0.0020000,-0.10000,-0.0043250,2.7147E-4,-6.0579E-5
-0.0040000,-0.0020000,-0.10000,-0.0043286,4.6617E-4,-4.3704E-5
-0.0030000,-0.0020000,-0.10000,-0.0043858,7.1399E-4,-8.4651E-6
-0.0020000,-0.0020000,-0.10000,-0.0046550,0.0012501,-1.9287E-5
-0.0010000,-0.0020000,-0.10000,-0.0056983,0.0013957,1.8137E-5
-6.7763E-21,-0.0020000,-0.10000,-0.0070124,6.8736E-5,2.4589E-4
0.0010000,-0.0020000,-0.10000,-0.0060521,-0.0017099,1.5272E-4
0.0020000,-0.0020000,-0.10000,-0.0046806,-0.0013171,1.9964E-5
0.0030000,-0.0020000,-0.10000,-0.0043718,-7.2399E-4,3.8047E-5
0.0040000,-0.0020000,-0.10000,-0.0043242,-4.6958E-4,3.2856E-5
0.0050000,-0.0020000,-0.10000,-0.0043158,-2.9660E-4,7.7551E-5
-0.0050000,-0.0010000,-0.10000,-0.0042502,1.6002E-4,-6.5559E-5
-0.0040000,-0.0010000,-0.10000,-0.0041046,3.0387E-4,-4.5593E-5
-0.0030000,-0.0010000,-0.10000,-0.0037588,5.7129E-4,-3.6654E-5
-0.0020000,-0.0010000,-0.10000,-0.0037123,0.0015370,-1.4790E-4
-0.0010000,-0.0010000,-0.10000,-0.0053670,0.0037861,6.3698E-5
-1.4997E-19,-0.0010000,-0.10000,-0.011508,-7.4544E-5,-9.4253E-5
0.0010000,-0.0010000,-0.10000,-0.0054031,-0.0037799,-5.5229E-5
0.0020000,-0.0010000,-0.10000,-0.0033831,-0.0013548,2.4153E-4
0.0030000,-0.0010000,-0.10000,-0.0038292,-6.2569E-4,2.5209E-5
0.0040000,-0.0010000,-0.10000,-0.0040823,-2.6186E-4,4.8518E-5
0.0050000,-0.0010000,-0.10000,-0.0042647,-1.5571E-4,5.1301E-5
-0.0050000,-1.6263E-19,-0.10000,-0.0041886,4.2646E-6,-5.6575E-5
-0.0040000,-3.7587E-20,-0.10000,-0.0039979,-1.1459E-5,-4.9552E-5
-0.0030000,3.0708E-21,-0.10000,-0.0035619,-1.2082E-5,-4.8828E-6
-0.0020000,-2.0329E-20,-0.10000,-0.0024369,-8.4690E-5,-5.8170E-4
-0.0010000,-6.3426E-20,-0.10000,-2.9964E-4,-3.6579E-4,3.2765E-5
2.7444E-19,4.7434E-19,-0.10000,-1.3112E-5,3.7429E-8,-2.4617E-7
0.0010000,-1.6664E-19,-0.10000,-1.2250E-5,2.1408E-6,8.8092E-6
0.0020000,-5.4210E-20,-0.10000,-0.0025160,-9.4720E-5,4.7310E-4
0.0030000,7.5560E-20,-0.10000,-0.0035295,-7.9725E-6,1.7683E-5
0.0040000,-9.8050E-21,-0.10000,-0.0039877,-1.2693E-5,4.4357E-5
0.0050000,-8.1315E-20,-0.10000,-0.0041585,-1.6908E-5,5.0283E-5
-0.0050000,0.0010000,-0.10000,-0.0042426,-1.6336E-4,-6.3816E-5
-0.0040000,0.0010000,-0.10000,-0.0040861,-2.7121E-4,-5.9291E-5
-0.0030000,0.0010000,-0.10000,-0.0037970,-6.4320E-4,-1.5773E-5
-0.0020000,0.0010000,-0.10000,-0.0036839,-0.0015940,-1.5226E-4
-0.0010000,0.0010000,-0.10000,-0.0056181,-0.0043986,7.9083E-5
1.8010E-19,0.0010000,-0.10000,-0.011418,-1.8789E-5,-1.7029E-4
0.0010000,0.0010000,-0.10000,-0.0053590,0.0037836,-7.4834E-5
0.0020000,0.0010000,-0.10000,-0.0037282,0.0014675,1.1210E-4
0.0030000,0.0010000,-0.10000,-0.0038298,6.1574E-4,3.4824E-5
0.0040000,0.0010000,-0.10000,-0.0040815,3.0289E-4,3.2940E-5
0.0050000,0.0010000,-0.10000,-0.0042439,1.5861E-4,7.0935E-5
-0.0050000,0.0020000,-0.10000,-0.0043479,-2.7841E-4,-4.6620E-5
-0.0040000,0.0020000,-0.10000,-0.0043241,-4.4325E-4,-3.5139E-5
-0.0030000,0.0020000,-0.10000,-0.0043280,-7.9422E-4,6.6798E-6
-0.0020000,0.0020000,-0.10000,-0.0046401,-0.0012912,-1.6542E-5
-0.0010000,0.0020000,-0.10000,-0.0058664,-0.0016659,-9.4833E-5
-2.7105E-20,0.0020000,-0.10000,-0.0069464,-1.4274E-4,3.0898E-4
0.0010000,0.0020000,-0.10000,-0.0060271,0.0016441,1.2283E-4
0.0020000,0.0020000,-0.10000,-0.0046916,0.0012803,3.6095E-6
0.0030000,0.0020000,-0.10000,-0.0043689,7.4243E-4,3.3728E-5
0.0040000,0.0020000,-0.10000,-0.0043310,4.5457E-4,2.8672E-5
0.0050000,0.0020000,-0.10000,-0.0043386,2.6766E-4,5.8638E-5
-0.0050000,0.0030000,-0.10000,-0.0044303,-3.0303E-4,-6.3859E-5
-0.0040000,0.0030000,-0.10000,-0.0045138,-4.3530E-4,-6.0940E-5
-0.0030000,0.0030000,-0.10000,-0.0046395,-5.8726E-4,-3.7358E-5
-0.0020000,0.0030000,-0.10000,-0.0049828,-7.4110E-4,-2.3211E-5
-0.0010000,0.0030000,-0.10000,-0.0054937,-6.2927E-4,-1.0615E-6
